concept_code	concept_name	relationship_id	snomed_code	precedence
"9395/3"	"Papillary tumor of the pineal region"	"Maps to"	"450899004"	
"8524/3"	"Infiltrating lobular mixed with other types of carcinoma"	"Maps to"	"128701002"	
"8043/3"	"Small cell carcinoma, fusiform cell"	"Maps to"	"74042001"	
"8100/3"	"Trichoepithelioma, malignant (C44._)"	"Is a"	"59186007"	
"8101/0"	"Trichofolliculoma"	"Maps to"	"33059009"	
"8077/0"	"Squamous intraepithelial neoplasia, low grade"	"Maps to"	"450595003"	
"8121/1"	"Transitional cell papilloma, inverted, NOS"	"Maps to"	"846643009"	
"8930/3"	"Endometrial stromal sarcoma, NOS"	"Maps to"	"446578007"	
"9874/3"	"Acute myeloid leukemia with maturation"	"Maps to"	"103691009"	
"8103/3"	"Pilar tumor, malignant (C44._)"	"Is a"	"128638007"	
"8110/0"	"Pilomatrixoma, NOS"	"Maps to"	"44155009"	
"8934/3"	"Carcinofibroma"	"Maps to"	"128751007"	
"9252/1"	"Tenosynovial giant cell tumor, diffuse"	"Maps to"	"703703002"	
"8720/2"	"Melanoma in situ"	"Maps to"	"77986002"	
"8722/0"	"Balloon cell nevus"	"Maps to"	"8276007"	
"8050/2"	"Papillary carcinoma in situ"	"Maps to"	"10376009"	
"9130/3"	"Hemangioendothelioma, malignant"	"Maps to"	"33176006"	
"9221/3"	"Juxtacortical chondrosarcoma"	"Maps to"	"26211003"	
"8121/2"	"Transitional cell carcinoma in situ, inverted, NOS "	"Is a"	"53530009"	
"9222/1"	"Atypical cartilaginous tumor"	"Maps to"	"703701000"	
"8211/0"	"Tubular adenoma, NOS"	"Maps to"	"19665009"	"1"
"8123/2"	"Basaloid carcinoma, in situ (C21.1)"	"Is a"	"5843004"	
"8123/2"	"Basaloid carcinoma, in situ (C21.1)"	"Is a"	"127569003"	
"8580/1"	"Thymoma, NOS"	"Maps to"	"128856005"	"1"
"8124/2"	"Cloacogenic carcinoma in situ (C21.2)"	"Is a"	"84570003"	
"8124/2"	"Cloacogenic carcinoma in situ (C21.2)"	"Is a"	"127569003"	
"8272/0"	"Pituitary adenoma, NOS"	"Maps to"	"128664001"	"1"
"8990/0"	"Mesenchymoma, benign"	"Maps to"	"38406003"	
"8131/2"	"Transitional cell carcinoma in situ, micropapillary "	"Is a"	"128639004"	
"8131/2"	"Transitional cell carcinoma in situ, micropapillary "	"Is a"	"127569003"	
"9220/3"	"Chondrosarcoma, NOS"	"Maps to"	"14990007"	"1"
"8140/3"	"Adenocarcinoma, NOS"	"Maps to"	"35917007"	
"8720/3"	"Malignant melanoma, NOS"	"Maps to"	"2092003"	"1"
"8140/9"	"Adenocarcinoma,uncertain whether primary or metastatic site"	"Is a"	"35917007"	
"8141/2"	"Scirrhous adenocarcinoma in situ"	"Is a"	"4584002"	
"8141/2"	"Scirrhous adenocarcinoma in situ"	"Is a"	"127569003"	
"9590/3"	"Malignant lymphoma, NOS"	"Maps to"	"21964009"	"1"
"8800/3"	"Sarcoma, NOS"	"Maps to"	"2424003"	"1"
"8143/2"	"Superficial spreading adenocarcinoma in situ"	"Is a"	"81446001"	
"8143/2"	"Superficial spreading adenocarcinoma in situ"	"Is a"	"127569003"	
"9570/0"	"Neuroma, NOS"	"Maps to"	"25169009"	"1"
"8144/0"	"Adenoma, intestinal type"	"Is a"	"726545001"	
"9709/3"	"Cutaneous T-cell lymphoma, NOS"	"Maps to"	"28054005"	"1"
"8140/0"	"Adenoma, NOS"	"Maps to"	"32048006"	"1"
"8010/0"	"Epithelial tumor, benign"	"Maps to"	"42535003"	"1"
"8900/0"	"Rhabdomyoma, NOS"	"Maps to"	"43375002"	"1"
"9080/1"	"Teratoma, NOS"	"Maps to"	"55818009"	"1"
"8144/2"	"Adenocarcinoma in situ, intestinal type (C16._)"	"Is a"	"25190001"	
"8144/2"	"Adenocarcinoma in situ, intestinal type (C16._)"	"Is a"	"127569003"	
"9840/3"	"Acute myeloid leukemia, M6 type"	"Maps to"	"14317002"	
"8145/2"	"Carcinoma in situ, diffuse type (C16._)"	"Is a"	"24505004"	
"8145/2"	"Carcinoma in situ, diffuse type (C16._)"	"Is a"	"127569003"	
"8281/3"	"Mixed acidophil-basophil carcinoma"	"Maps to"	"23444003"	
"9684/3"	"Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS"	"Maps to"	"450958009"	
"8146/2"	"Monomorphic adenoma, in situ"	"Is a"	"35917007"	
"8146/2"	"Monomorphic adenoma, in situ"	"Is a"	"127569003"	
"8146/3"	"Monomorphic adenocarcinoma"	"Is a"	"77653004"	
"8440/3"	"Cystadenocarcinoma, NOS"	"Maps to"	"21008007"	
"8441/0"	"Serous cystadenoma, NOS"	"Maps to"	"51608009"	
"8855/3"	"Mixed liposarcoma"	"Maps to"	"11073003"	
"8202/0"	"Microcystic adenoma"	"Maps to"	"79494009"	
"8508/2"	"Cystic hypersecretory carcinoma, in situ (C50._)"	"Maps to"	"703573001"	
"8833/1"	"Pigmented dermatofibrosarcoma protuberans"	"Maps to"	"62621002"	
"9052/0"	"Epithelioid mesothelioma, benign"	"Maps to"	"84919003"	
"8000/9"	"Neoplasm, malignant, uncertain whether primary or metastatic"	"Maps to"	"6219000"	
"8581/1"	"Thymoma, type A, NOS"	"Maps to"	"128707003"	
"8323/0"	"Mixed cell adenoma"	"Maps to"	"89773001"	
"9425/3"	"Pilomyxoid astrocytoma"	"Maps to"	"388600004"	
"9043/3"	"Synovial sarcoma, biphasic"	"Maps to"	"18588008"	
"8153/0"	"Gastrinoma, benign "	"Is a"	"16189002"	
"9101/3"	"Choriocarcinoma combined with other germ cell elements"	"Maps to"	"8734000"	
"9675/3"	"Malignant lymphoma, mixed small and large cell, diffuse"	"Maps to"	"50102004"	
"8030/3"	"Giant cell and spindle cell carcinoma"	"Maps to"	"72969003"	
"9727/3"	"Precursor cell lymphoblastic lymphoma, NOS"	"Maps to"	"128806000"	
"8313/1"	"Clear cell adenofibroma of borderline malignancy"	"Maps to"	"128890001"	
"8959/0"	"Benign cystic nephroma"	"Maps to"	"128757006"	
"8959/1"	"Cystic partially differentiated nephroblastoma"	"Maps to"	"128758001"	
"8157/1"	"Enteroglucagonoma, NOS"	"Maps to"	"128644006"	
"8157/3"	"Enteroglucagonoma, malignant"	"Maps to"	"128644006"	
"9184/3"	"Osteosarcoma in Paget disease of bone"	"Maps to"	"703692009"	
"8158/3"	"ACTH-producing tumor"	"Is a"	"127575007"	
"9130/1"	"Hemangioendothelioma, NOS"	"Maps to"	"66229009"	
"8160/2"	"Bile duct adenocarcinoma in situ (C22.1, C24.0)"	"Is a"	"70179006"	
"8160/2"	"Bile duct adenocarcinoma in situ (C22.1, C24.0)"	"Is a"	"127569003"	
"8330/1"	"Atypical follicular adenoma"	"Maps to"	"128892009"	
"8190/3"	"Trabecular adenocarcinoma"	"Maps to"	"29792007"	
"9241/0"	"Chondromyxoid fibroma"	"Maps to"	"39553005"	
"8573/3"	"Adenocarcinoma with apocrine metaplasia"	"Maps to"	"22694002"	
"8334/0"	"Macrofollicular adenoma"	"Maps to"	"26545006"	
"8336/0"	"Hyalinizing trabecular adenoma"	"Maps to"	"128672004"	
"8052/3"	"Papillary squamous cell carcinoma"	"Maps to"	"39056008"	
"9891/3"	"Acute monocytic leukemia"	"Maps to"	"22331004"	
"8170/2"	"Hepatocellular carcinoma in situ (C22.0)"	"Is a"	"25370001"	
"8170/2"	"Hepatocellular carcinoma in situ (C22.0)"	"Is a"	"127569003"	
"8215/3"	"Adenocarcinoma of anal glands"	"Maps to"	"128655006"	
"8507/3"	"Ductal carcinoma, micropapillary (C50._)"	"Maps to"	"703578005"	
"9970/1"	"Lymphoproliferative disorder, NOS"	"Maps to"	"84631004"	
"9000/3"	"Brenner tumor, malignant"	"Maps to"	"42194009"	
"9010/0"	"Fibroadenoma, NOS"	"Maps to"	"65877006"	
"9172/0"	"Cavernous lymphangioma"	"Maps to"	"89056007"	
"8772/3"	"Spindle cell melanoma, NOS"	"Maps to"	"68827007"	
"8811/0"	"Fibromyxoma"	"Maps to"	"8664001"	
"8190/0"	"Trabecular adenoma"	"Maps to"	"21930005"	
"8827/1"	"Myofibroblastic tumor, peribronchial"	"Maps to"	"128740007"	
"9015/3"	"Mucinous adenocarcinofibroma"	"Maps to"	"128888002"	
"9016/0"	"Giant fibroadenoma"	"Maps to"	"34882000"	
"8200/2"	"Adenoid cystic carcinoma in situ"	"Is a"	"11671000"	
"8200/2"	"Adenoid cystic carcinoma in situ"	"Is a"	"127569003"	
"8200/3"	"Adenoid cystic carcinoma"	"Maps to"	"11671000"	
"9175/0"	"Hemolymphangioma"	"Maps to"	"8241005"	
"8201/3"	"Cribriform carcinoma, NOS"	"Maps to"	"30156004"	
"9137/3"	"Intimal sarcoma"	"Maps to"	"703661007"	
"9492/0"	"Gangliocytoma"	"Maps to"	"128919000"	
"8332/3"	"Follicular adenocarcinoma, trabecular"	"Maps to"	"72174007"	
"8210/2"	"Adenocarcinoma in situ in adenomatous polyp"	"Maps to"	"60286009"	
"9110/3"	"Mesonephroma, malignant"	"Maps to"	"2221008"	
"9183/3"	"Telangiectatic osteosarcoma"	"Maps to"	"78453009"	
"8211/2"	"Tubular adenocarcinoma in situ"	"Is a"	"4631006"	
"8211/2"	"Tubular adenocarcinoma in situ"	"Is a"	"127569003"	
"8042/3"	"Oat cell carcinoma"	"Maps to"	"76817009"	
"9950/3"	"Polycythemia vera"	"Maps to"	"128841001"	
"9240/3"	"Mesenchymal chondrosarcoma"	"Maps to"	"56565002"	
"8213/2"	"Serrated adenoma, in situ"	"Is a"	"128653004"	
"8213/2"	"Serrated adenoma, in situ"	"Is a"	"127569003"	
"8003/3"	"Malignant tumor, giant cell type"	"Maps to"	"83950009"	
"8890/0"	"Leiomyoma, NOS"	"Maps to"	"44598004"	"1"
"8890/3"	"Leiomyosarcoma, NOS"	"Maps to"	"51549004"	"1"
"9832/3"	"Prolymphocytic leukemia, NOS"	"Maps to"	"128923008"	
"8220/2"	"Adenocarcinoma in situ in adenomatous polyposis coli (C18._)"	"Is a"	"57513006"	
"8220/2"	"Adenocarcinoma in situ in adenomatous polyposis coli (C18._)"	"Is a"	"127569003"	
"8221/2"	"Adenocarcinoma in situ in multiple adenomatous polyposis coli "	"Is a"	"57513006"	
"8221/2"	"Adenocarcinoma in situ in multiple adenomatous polyposis coli "	"Is a"	"127569003"	
"8240/0"	"Carcinoid tumor, benign"	"Maps to"	"714809007"	
"8240/2"	"Carcinoid tumor, in situ "	"Is a"	"81622000"	
"9732/3"	"Multiple myeloma"	"Maps to"	"55921005"	"1"
"9391/3"	"Ependymoma, NOS"	"Maps to"	"57706008"	"1"
"9450/3"	"Oligodendroglioma, NOS"	"Maps to"	"73348003"	"1"
"9680/3"	"Malignant lymphoma, large B-cell, diffuse, NOS"	"Maps to"	"46732000"	"1"
"9061/3"	"Seminoma, NOS"	"Maps to"	"36741007"	"1"
"9470/3"	"Medulloblastoma, NOS"	"Maps to"	"83217000"	"1"
"8240/2"	"Carcinoid tumor, in situ "	"Is a"	"127569003"	
"9230/3"	"Chondroblastoma, malignant"	"Maps to"	"74279005"	
"8241/0"	"Enterochromaffin cell carcinoid, benign"	"Is a"	"48554007"	
"9534/0"	"Angiomatous meningioma"	"Maps to"	"73918009"	
"8242/0"	"Enterochromaffin-like cell carcinoid, benign"	"Is a"	"128656007"	
"8522/2"	"Intraductal carcinoma and lobular carcinoma in situ"	"Maps to"	"18680006"	
"8523/3"	"Infiltrating duct mixed with other types of carcinoma"	"Maps to"	"128700001"	
"8243/2"	"Goblet cell carcinoid in situ"	"Is a"	"31396002"	
"8243/2"	"Goblet cell carcinoid in situ"	"Is a"	"127569003"	
"8146/0"	"Monomorphic adenoma"	"Maps to"	"77653004"	
"8244/2"	"Mixed adenoneuroendocrine carcinoma, in situ (ICD-O-3 update)"	"Is a"	"51465000"	
"8244/2"	"Mixed adenoneuroendocrine carcinoma, in situ (ICD-O-3 update)"	"Is a"	"127569003"	
"8147/0"	"Basal cell adenoma"	"Maps to"	"27230006"	
"9910/3"	"Acute megakaryoblastic leukemia"	"Maps to"	"52220008"	
"8490/6"	"Metastatic signet ring cell carcinoma"	"Maps to"	"4305004"	
"8246/2"	"Neuroendocrine carcinoma in situ"	"Is a"	"55937004"	
"8246/2"	"Neuroendocrine carcinoma in situ"	"Is a"	"127569003"	
"8501/3"	"Comedocarcinoma, NOS"	"Maps to"	"722237009"	
"8247/2"	"Merkel cell carcinoma, in situ (C44._)"	"Is a"	"5052009"	
"8247/2"	"Merkel cell carcinoma, in situ (C44._)"	"Is a"	"127569003"	
"8723/3"	"Malignant melanoma, regressing"	"Maps to"	"39896009"	
"8248/3"	"Apudoma, malignant"	"Is a"	"74926005"	
"9651/3"	"Hodgkin lymphoma, lymphocyte-rich"	"Maps to"	"128799007"	
"8728/3"	"Meningeal melanomatosis"	"Maps to"	"128731008"	
"8250/0"	"Atypical adenomatous hyperplasia"	"Maps to"	"17474009"	
"8742/3"	"Lentigo maligna melanoma"	"Maps to"	"44474009"	
"8250/2"	"Bronchio-alveolar adenocarcinoma in situ "	"Is a"	"112677002"	
"8250/2"	"Bronchio-alveolar adenocarcinoma in situ "	"Is a"	"127569003"	
"8901/3"	"Pleomorphic rhabdomyosarcoma, adult type"	"Maps to"	"77455004"	
"8251/0"	"Alveolar adenoma"	"Maps to"	"8097004"	
"8300/3"	"Basophil carcinoma"	"Maps to"	"47107000"	
"8252/2"	"Bronchio-alveolar carcinoma, non-mucinous in situ (C34._)"	"Is a"	"128659000"	
"8252/2"	"Bronchio-alveolar carcinoma, non-mucinous in situ (C34._)"	"Is a"	"127569003"	
"8310/0"	"Clear cell adenoma"	"Maps to"	"1752006"	
"8253/2"	"Bronchio-alveolar carcinoma, mucinous, in situ (C34._)"	"Is a"	"128660005"	
"8253/2"	"Bronchio-alveolar carcinoma, mucinous, in situ (C34._)"	"Is a"	"127569003"	
"9322/0"	"Peripheral odontogenic fibroma"	"Maps to"	"75914009"	
"9011/0"	"Intracanalicular fibroadenoma"	"Maps to"	"72905006"	
"8255/2"	"Adenocarcinoma with mixed subtypes, in situ"	"Is a"	"128662002"	
"8255/2"	"Adenocarcinoma with mixed subtypes, in situ"	"Is a"	"127569003"	
"8263/3"	"Adenocarcinoma in tubulovillous adenoma"	"Maps to"	"5658009"	
"8256/3"	"Minimally invasive adenocarcinoma, non-mucinous"	"Maps to"	"733885003"	
"8257/3"	"Minimally invasive adenocarcinoma, mucinous"	"Maps to"	"733884004"	
"8836/1"	"Angiomatoid fibrous histiocytoma"	"Maps to"	"128744003"	
"8260/1"	"Aggressive papillary tumor"	"Maps to"	"733074001"	
"8260/2"	"Papillary adenocarcinoma in situ, NOS"	"Is a"	"4797003"	
"8260/2"	"Papillary adenocarcinoma in situ, NOS"	"Is a"	"127569003"	
"8260/3"	"Papillary adenocarcinoma, NOS"	"Maps to"	"4797003"	
"8842/0"	"Ossifying fibromyxoid tumor"	"Maps to"	"128745002"	
"8261/1"	"Villous adenoma,uncertain behaviour"	"Maps to"	"128859003"	
"8141/3"	"Scirrhous adenocarcinoma"	"Maps to"	"4584002"	
"8261/2"	"Adenocarcinoma in situ in villous adenoma"	"Maps to"	"4935000"	
"8262/2"	"Villous adenocarcinoma in situ"	"Maps to"	"4935000"	
"9020/0"	"Phyllodes tumor, benign"	"Maps to"	"16566002"	
"9871/3"	"Acute myeloid leukemia with abnormal marrow eosinophils"	"Maps to"	"103688009"	
"8853/3"	"Round cell liposarcoma"	"Maps to"	"43296007"	
"9170/0"	"Lymphangioma, NOS"	"Maps to"	"69044001"	
"8525/3"	"Polymorphous low grade adenocarcinoma"	"Maps to"	"128702009"	
"8265/3"	"Micropapillary carcinoma, NOS"	"Maps to"	"450895005"	
"8920/3"	"Alveolar rhabdomyosarcoma"	"Maps to"	"63449009"	
"8270/1"	"Chromophobe adenoma, borderline (C75.1)"	"Is a"	"37039006"	
"8921/3"	"Rhabdomyosarcoma with ganglionic differentiation"	"Maps to"	"128750008"	
"8504/2"	"Noninfiltrating intracystic carcinoma"	"Maps to"	"703545003"	
"8271/3"	"Prolactinoma, malignant (C75.1)"	"Is a"	"399879007"	
"8504/3"	"Intracystic carcinoma, NOS"	"Maps to"	"703547006"	
"8272/1"	"Pituitary, borderline malignancy (C75.1)"	"Is a"	"6219000"	
"8505/0"	"Intraductal papillomatosis, NOS"	"Maps to"	"32296002"	
"8273/3"	"Pituitary blastoma"	"Is a"	"86049000"	
"8574/3"	"Adenocarcinoma with neuroendocrine differentiation"	"Maps to"	"128704005"	
"8500/2"	"Intraductal carcinoma, noninfiltrating, NOS"	"Maps to"	"86616005"	"1"
"8890/1"	"Leiomyomatosis, NOS"	"Maps to"	"75210008"	"1"
"9380/3"	"Glioma, malignant"	"Maps to"	"74532006"	"1"
"8290/2"	"Oxyphillic adenocarcinoma in situ (C73.9)"	"Is a"	"57596004"	
"8290/2"	"Oxyphillic adenocarcinoma in situ (C73.9)"	"Is a"	"127569003"	
"8810/0"	"Fibroma, NOS"	"Maps to"	"400078005"	"2"
