"concept_code_1","vocabulary_id_1","concept_name_1","concept_class_id_1","relationship_id","concept_code_2","vocabulary_id_2","concept_name_2","concept_class_id_2","valid_start_date","valid_end_date","mapping_note"
"prostate@2865@010","NAACCR","Tertiary pattern 1","NAACCR Value","maps to","Gleason-Tertiary_Pattern_Grade-1","Cancer Modifier","Gleason Tertiary Pattern Grade 1","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2865@020","NAACCR","Tertiary pattern 2","NAACCR Value","maps to","Gleason-Tertiary_Pattern_Grade-2","Cancer Modifier","Gleason Tertiary Pattern Grade 2","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2865@030","NAACCR","Tertiary pattern 3","NAACCR Value","maps to","Gleason-Tertiary_Pattern_Grade-3","Cancer Modifier","Gleason Tertiary Pattern Grade 3","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2865@040","NAACCR","Tertiary pattern 4","NAACCR Value","maps to","Gleason-Tertiary_Pattern_Grade-4","Cancer Modifier","Gleason Tertiary Pattern Grade 4","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2865@050","NAACCR","Tertiary pattern 5","NAACCR Value","maps to","Gleason-Tertiary_Pattern_Grade-5","Cancer Modifier","Gleason Tertiary Pattern Grade 5","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2865@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2865@998","NAACCR","No prostatectomy/autopsy performed","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2865@999","NAACCR","No Gleason's tertiary pattern documented on prostatectomy/autopsy|No residual disease on prostatectomy/autopsy|Unknown or no information |Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bile_ducts_intrahepat@2880@999","NAACCR","Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bladder@2880@010","NAACCR","Low grade urothelial carcinoma","NAACCR Value","maps to","Grade-1","Cancer Modifier","Grade 1 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"bladder@2880@020","NAACCR","High grade urothelial carcinoma","NAACCR Value","maps to","Grade-H","Cancer Modifier","High grade tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"bladder@2880@888","NAACCR","OBSOLETE DATA CONVERTED V0200 |See code 988||Not applicable for this site","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bladder@2880@987","NAACCR","Not applicable: Not a urothelial morphology","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bladder@2880@988","NAACCR","Not applicable: Information not collected for this case|(May include cases converted from code 888 used in CSv1 for ""Not applicable"" or when the item was not collected. If this item is required to derive T, N, M, or any stage, use of code 988 may resul","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bladder@2880@998","NAACCR","No pathologic examination of primary site","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"bladder@2880@999","NAACCR","Unknown WHO/ISUP grade|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"brain@2880@010","NAACCR","Grade I","NAACCR Value","maps to","Grade-1","Cancer Modifier","Grade 1 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"brain@2880@020","NAACCR","Grade II","NAACCR Value","maps to","Grade-2","Cancer Modifier","Grade 2 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"brain@2880@030","NAACCR","Grade III","NAACCR Value","maps to","Grade-3","Cancer Modifier","Grade 3 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"brain@2880@040","NAACCR","Grade IV","NAACCR Value","maps to","Grade-4","Cancer Modifier","Grade 4 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
