Item #,Item Name,Section,Codes,Code Descriptions,Note
,,,XIS,Israel and Palestine,
,,,XCR,Caucasian Republics of former USSR,
,,,XOR,Other Asian Republics of former USSR,
,,,XSE,Southeast Asia,
,,,XMS,"Malaysia, Singapore, Brunei",
,,,XCH,"China, NOS",
,,,XML,Melanesian Islands,
,,,XMC,Micronesian Islands,
,,,XPL,Polynesian Islands,
,,,,,
110,Census Tract 1970/80/90,Demographic,000100-999998,Valid FIPS Codes,
,,,0,Area not census-tracted,
,,,999999,"Area census-tracted, but census tract is not available",
,,,Blank,Census Tract 1970/80/90 not coded,
,,,,,
120,Census Cod Sys 1970/80/90,Demographic,0,Not tracted,
,,,1,1970 Census Tract Definitions,
,,,2,1980 Census Tract Definitions,
,,,3,1990 Census Tract Definitions,
,,,Blank,Census Tract 1970/80/90 not coded,
125,Census Tract 2020,Demographic,0,Area not census tracted,New
,,,000100-999998,Valid FIPS code,
,,,999999,"Area census tracted, but census tract is not available",
,,,Blank,Census Tract 2020 not coded,
,,,,,
130,Census Tract 2000,Demographic,000100-999998,Valid FIPS code,
,,,0,Area not census tracted,
,,,999999,"Area census-tracted, but census tract is not available",
,,,Blank,Census Tract 2000 not coded,
,,,,,
135,Census Tract 2010,Demographic,000100-999998,Valid FIPS code,
,,,0,Area not census tracted,
,,,999999,"Area census tracted, but census tract is not available",
,,,Blank,Census Tract 2010 not coded,
,,,,,
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
140,Census Tract Cod Sys--Alt,,,,Retired
145,Census Tr Poverty Indictr,Demographic,1,0% - <5% poverty,
,,,2,5% - <10% poverty,
,,,3,10% - <20% poverty,
,,,4,20% - 100% poverty,
,,,9,Unknown or not applicable,
150,Marital Status at DX,Demographic,1,Single (never married),
,,,2,Married (including common law),
,,,3,Separated,
,,,4,Divorced,
,,,5,Widowed,
,,,6,"Unmarried or Domestic Partner (same sex or opposite sex, registered or unregistered, other than common law marriage)",
,,,9,Unknown,
160,Race 1,Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
161,Race 2,Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,88,No further race documented,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
,,,Blank,Race 2-5 not coded,
162,Race 3,Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,88,No further race documented,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
,,,Blank,Race 2-5 not coded,
163,Race 4,Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere).",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,88,No further race documented,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
,,,Blank,Race 2-5 not coded,
164,Race 5,Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,88,No further race documented,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
,,,Blank,Race 2-5 not coded,
170,Race Coding Sys--Current,Demographic,1,"4-value coding: 1 = White, 2 = Black, 3 = Other, 9 = Unknown",
,,,2,SEER < 1988 (1-digit),
,,,3,1988-1990 SEER & CoC (2-digit),
,,,4,"1991-1993 SEER & CoC (added codes 20-97, additional Asian and Pacific Islander codes)",
,,,5,"1994-1999 SEER & CoC (added code 14, Thai)",
,,,6,"2000+ SEER & CoC (added code 88 for Race 2, 3, 4, and 5)",
,,,7,"2010+ SEER & CoC (added codes 15, 16, and 17; removed 09)",
,,,9,Other,
180,Race Coding Sys--Original,Demographic,9,Other,
,,,1,"4-value coding: 1 = White, 2 = Black, 3 = Other, 9 = Unknown",
,,,2,SEER < 1988 (1-digit),
,,,3,1988-1990 SEER & CoC (2-digit),
,,,4,"1991-1993 SEER & CoC (added codes 20-97, additional Asian and Pacific Islander codes)",
,,,5,"1994-1999 SEER & CoC (added code 14, Thai)",
,,,6,"2000+ SEER & CoC (added code 88 for Race 2, 3, 4, and 5)",
,,,7,"2010+ SEER & CoC (added codes 15, 16, and 17; removed 09)",
190,Spanish/Hispanic Origin,Demographic,0,Non-Spanish; non-Hispanic,
,,,1,Mexican (includes Chicano),
,,,2,Puerto Rican,
,,,3,Cuban,
,,,4,South or Central American (except Brazil),
,,,5,Other specified Spanish/Hispanic origin (includes European; excludes Dominican Republic),
,,,6,"Spanish, NOS",
,,,,"Hispanic, NOS",
,,,,"Latino, NOS",
,,,,"There is evidence, other than surname or maiden name, that the person is Hispanic, but he/she cannot be assigned to any of the other categories 1-5.",
,,,7,"Spanish surname only (Code 7 is ordinarily for central registry use only, hospital registrars may use code 7 if using a list of Hispanic surnames provided by their central registry; otherwise, code 9 'unknown whether Spanish or not' should be used.) The only evidence of the person's Hispanic origin is the surname or maiden name and there is no contrary evidence that the person is not Hispanic.",
,,,8,Dominican Republic,
,,,9,Unknown whether Spanish or not,
,,,,,
191,NHIA Derived Hisp Origin,Demographic,0,Non-Hispanic,
,,,1,"Mexican, by birthplace or other specific identifier",
,,,2,"Puerto Rican, by birthplace or other specific identifier",
,,,3,"Cuban, by birthplace or other specific identifier",
,,,4,"South or Central American (except Brazil), by birthplace or other specific identifier",
,,,5,"Other specified Spanish/Hispanic origin (includes European; excludes Dominican Republic), by birthplace or other specific identifier",
,,,6,"Spanish, NOS; Hispanic, NOS; Latino, NOS",
,,,7,NHIA surname match only,
,,,8,Dominican Republic,
,,,Blank,Algorithm has not been run,
192,IHS Link,Demographic,0,"Record sent for linkage, no IHS match",
,,,1,"Record sent for linkage, IHS match",
,,,Blank,Record not sent for linkage or linkage result pending,
193,Race--NAPIIA(derived API),Demographic,1,White,
,,,2,Black,
,,,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western Hemisphere)",
,,,4,Chinese,
,,,5,Japanese,
,,,6,Filipino,
,,,7,Hawaiian,
,,,8,Korean,
,,,*,,
,,,10,Vietnamese,
,,,11,Laotian,
,,,12,Hmong,
,,,13,Kampuchean (Cambodian),
,,,14,Thai,
,,,15,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)",
,,,16,Asian Indian,
,,,17,Pakistani,
,,,20,"Micronesian, NOS",
,,,21,Chamorro/Chamoru,
,,,22,"Guamanian, NOS",
,,,25,"Polynesian, NOS",
,,,26,Tahitian,
,,,27,Samoan,
,,,28,Tongan,
,,,30,"Melanesian, NOS",
,,,31,Fiji Islander,
,,,32,New Guinean,
,,,96,"Other Asian, including Asian, NOS and Oriental, NOS",
,,,97,"Pacific Islander, NOS",
,,,98,Other,
,,,99,Unknown,
,,,Blank,Algorithm was not run,
200,Computed Ethnicity,Demographic,0,No match was run (for 1994 and later tumors),
,,,1,Non-Hispanic last name and non-Hispanic maiden name,
,,,2,"Non-Hispanic last name, did not check maiden name or patient was male",
,,,3,"Non-Hispanic last name, missing maiden name",
,,,4,"Hispanic last name, non-Hispanic maiden name",
,,,5,"Hispanic last name, did not check maiden name or patient was male",
,,,6,"Hispanic last name, missing maiden name",
,,,7,Hispanic Maiden name (females only) (regardless of last name),
,,,Blank,"1993 and earlier tumors, no match was run",
210,Computed Ethnicity Source,Demographic,0,"No match was run, for 1994 and later tumors",
,,,1,"Census Bureau list of Spanish surnames, NOS",
,,,2,1980 Census Bureau list of Spanish surnames,
,,,3,1990 Census Bureau list of Spanish surnames,
,,,4,GUESS Program,
,,,5,Combination list including South Florida names,
,,,6,Combination of Census and other locally generated list,
,,,7,"Combination of Census and GUESS, with or without other lists",
,,,8,Other type of match,
,,,9,Unknown type of match,
,,,Blank,"1993 and earlier tumors, no match was run",
220,Sex,Demographic,1,Male,
,,,2,Female,
,,,3,"Other (intersex, disorders of sexual development/DSD). The word hermaphrodite formerly classified under this code is an outdated term.",
,,,4,"Transsexual, NOS",
,,,5,"Transsexual, natal male",
,,,6,"Transsexual, natal female",
,,,9,Not stated/Unknown,
,,,,,
230,Age at Diagnosis,Demographic,0,Less than 1 year old; diagnosed in utero,
,,,1,"1 year old, but less than 2 years",
,,,2,2 years old,
,,,...,,
,,,101,101 years old,
,,,...,,
,,,120,120 years old,
,,,999,Unknown age,
240,Date of Birth,Demographic,,,
241,Date of Birth Flag,Demographic,12,"A proper value is applicable but not known (i.e., birth date is unknown)",
,,,Blank,"A valid date value is provided in item Date of Birth [240], or the date was not expected to have been transmitted",
250,Birthplace,Demographic,,,
252,Birthplace--State,Demographic,,,
254,Birthplace--Country,Demographic,Custom codes for historic use only,,
,,,ZZN,North America NOS,
,,,ZZC,Central American NOS,
,,,ZZS,South America NOS,
,,,ZZP,Pacific NOS,
,,,ZZE,Europe NOS,
,,,ZZF,Africa NOS,
,,,ZZA,Asia NOS,
,,,ZZX,Non-US NOS,
,,,ZZU,Unknown,
,,,Custom codes for historic use only,,
,,,XNI,North American Islands,
,,,XCB,Other Caribbean Islands,
,,,XEN,"England, Channel Islands, Isle of Man",
,,,XSC,Scandinavia,
,,,XGR,Germanic Countries,
,,,XSL,Slavic Countries,
,,,CSK,Czechoslovakia (former),
,,,YUG,Yugoslavia (former),
,,,XUM,Ukraine and Moldova,
,,,XNF,North Africa,
,,,XSD,Sudanese Countries,
,,,XWF,West Africa,
,,,XSF,South Africa,
,,,XEF,East Africa,
,,,XIF,African Islands,
,,,XET,Ethiopia and Eritrea,
,,,XAP,Arabian Peninsula,
,,,XIS,Israel and Palestine,
,,,XCR,Caucasian Republics of former USSR,
,,,XOR,Other Asian Republics of former USSR,
,,,XSE,Southeast Asia,
,,,XMS,"Malaysia, Singapore, Brunei",
,,,XCH,"China, NOS",
,,,XML,Melanesian Islands,
,,,XMC,Micronesian Islands,
,,,XPL,Polynesian Islands,
,,,,,
260,Religion,,,,Retired
260,Religion,,,,Retired
260,Religion,,,,Retired
260,Religion,,,,Retired
260,Religion,,,,Retired
260,Religion,,,,Retired
260,Religion,,,,Retired
270,Census Occ Code 1970-2000,Demographic,,,
272,Census Ind Code 2010 CDC,Demographic,2010 NIOSH Codes for Non-Paid Worker Titles:,,
,,,9880,Retired,
,,,9890,"Housewife, homemaker, volunteers, student, child or infant, patient, disabled, inmate, or individual who did not work",
,,,9990,"Blank text, unknown, don't know, not applicable, refused, or information is inadequate to select a code",
,,,Blank,Coding of Census Ind Code 2010 CDC not attempted,
,,,,,
280,Census Ind Code 1970-2000,Demographic,,,
282,Census Occ Code 2010 CDC,Demographic,9010,"Housewife, homemaker",
,,,9020,Volunteers,
,,,9050,Student,
,,,9060,Retired,
,,,9100,"Child or infant, patient, disabled, inmate, or individual who did not work",
,,,9900,"Blank text, unknown, don't know, not applicable, refused or information is inadequate to select a code",
,,,Blank,Coding of Census Occ Code 2010 CDC not attempted,
,,,,,
290,Occupation Source,Demographic,0,Unknown occupation/no occupation available,
,,,1,Reporting facility records,
,,,2,Death certificate,
,,,3,Interview,
,,,7,Other source,
,,,8,"Not applicable, patient less than 14 years of age at diagnosis",
,,,9,Unknown source,
,,,Blank,Not collected,
300,Industry Source,Demographic,0,Unknown industry/no industry available,
,,,1,Reporting facility records,
,,,2,Death certificate,
,,,3,Interview,
,,,7,Other source,
,,,8,"Not applicable, patient less than 14 years of age at diagnosis",
,,,9,Unknown source,
,,,Blank,Not collected,
310,Text--Usual Occupation,Demographic,,,
320,Text--Usual Industry,Demographic,,,
330,Census Occ/Ind Sys 70-00,Demographic,1,1970 Census,
,,,2,1980 Census,
,,,3,1990 Census,
,,,4,2000 Census,
,,,5,2010 Census,
,,,7,Other coding system,
,,,9,Unknown coding system,
,,,Blank,Not collected,
339,RUCA 2000,Demographic,1,"Urban commuting area-RUCA codes 1.0, 1.1, 2.0, 2.1, 3.0, 4.1, 5.1, 7.1, 8.1, and 10.1",New
,,,2,Not an urban commuting area-All other RUCA codes except 99,
,,,9,Unknown or not applicable-census tract not available or RUCA code = 99,
,,,,,
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
340,Tobacco History,,,,Retired
341,RUCA 2010,Demographic,1,"Urban commuting area-RUCA codes 1.0, 1.1, 2.0, 2.1, 3.0, 4.1, 5.1, 7.1, 8.1, and 10.1",New
,,,2,Not an urban commuting area-all other RUCA codes except 99,
,,,9,Unknown or not applicable-census tract not available or RUCA code = 99,
,,,,,
345,URIC 2000,Demographic,1,All urban-the percent of the population in an urban area = 100%,New
,,,2,Mostly urban-the percent of the population in an urban area < 100% and ´ 50%,
,,,3,Mostly rural-the percent of the population in an urban area > 0% and < 50%,
,,,4,All rural-the percent of the population in an urban area = 0%,
,,,9,Unknown or not applicable-census tract not available or tract population was zero at the last decadal census,
,,,,,
346,URIC 2010,Demographic,1,All urban-the percent of the population in an urban area = 100%,New
,,,2,Mostly urban-the percent of the population in an urban area < 100% and ´ 50%,
,,,3,Mosty rural-the percent of the population in an urban area > 0% and < 50%,
,,,4,All rural-the percent of the population in an urban area = 0%,
,,,9,Unknown or not applicable-census tract not available or tract population was zero at the last decadal census,
,,,,,
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
350,Alcohol History,,,,Retired
351,GeoLocationID - 1970/80/90,Demographic,,,New
352,GeoLocationID - 2000,Demographic,,,New
353,GeoLocationID - 2010,Demographic,,,New
354,GeoLocationID - 2020,Demographic,,,New
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
360,Family History of Cancer,,,,Retired
361,Census Block Group 2020,Demographic,0-9,Census block group values as defined by the Census Bureau,New
,,,Blank,Census Block Group 2020 not coded,
,,,,,
362,Census Block Group 2000,Demographic,0,"Census block group assignment was attempted, but the value could not be determined",
,,,43109,Census block group values as defined by the Census Bureau,
,,,Blank,Census Block Group 2000 not coded,
363,Census Block Group 2010,Demographic,0,"Census block group assignment was attempted, but the value could not be determined",
,,,43109,Census block group values as defined by the Census Bureau,
,,,Blank,Census Block Group 2010 not coded,
364,Census Tr Cert 1970/80/90,Demographic,1,Census tract/BNA based on complete and valid street address of residence,
,,,2,Census tract/BNA based on residence ZIP + 4,
,,,3,Census tract/BNA based on residence ZIP + 2,
,,,4,Census tract/BNA based on residence ZIP code only,
,,,5,Census tract/BNA based on ZIP code of P.O. Box,
,,,6,"Census tract/BNA based on residence city where city has only one census tract, or based on residence ZIP code where ZIP code has only one census tract",
,,,9,"Not assigned, geocoding attempted",
,,,Blank,"Not assigned, geocoding not attempted",
365,Census Tr Certainty 2000,Demographic,1,Census tract based on complete and valid street address of residence,
,,,2,Census tract based on residence ZIP + 4,
,,,3,Census tract based on residence ZIP + 2,
,,,4,Census tract based on residence ZIP code only,
,,,5,Census tract based on ZIP code of P.O. Box,
,,,6,"Census tract/BNA based on residence city where city has only one census tract, or based on residence ZIP code where ZIP code has only one census tract",
,,,9,"Not assigned, geocoding attempted",
,,,Blank,"Not assigned, geocoding not attempted",
366,GIS Coordinate Quality,Demographic,0,"Coordinates derived from local government-maintained address points, which are based on property parcel locations, not interpolation over a street segment's address range",
,,,1,Coordinates assigned by Global Positioning System (GPS),
,,,2,"Coordinates are match of house number and street, and based on property parcel location",
,,,3,"Coordinates are match of house number and street, interpolated over the matching street segment's address range",
,,,4,Coordinates are street intersections,
,,,5,Coordinates are at mid-point of street segment (missing or invalid building number),
,,,6,Coordinates are address ZIP code+4 centroid,
,,,7,Coordinates are address ZIP code+2 centroid,
,,,8,Coordinates were obtained manually by looking up a location on a paper or electronic map,
,,,9,Coordinates are address 5-digit ZIP code centroid,
,,,10,Coordinates are point ZIP code of Post Office Box or Rural Route,
,,,11,"Coordinates are centroid of address city (when address ZIP code is unknown or invalid, and there are multiple ZIP codes for the city)",
,,,12,Coordinates are centroid of county,
,,,98,"Latitude and longitude are assigned, but coordinate quality is unknown",
,,,99,"Latitude and longitude are not assigned, but geocoding was attempted; unable to assign coordinates based on available information",
,,,Blank,GIS Coordinate Quality not coded,
367,Census Tr Certainty 2010,Demographic,1,Census tract based on complete and valid street address of residence,
,,,2,Census tract based on residence ZIP + 4,
,,,3,Census tract based on residence ZIP + 2,
,,,4,Census tract based on residence ZIP code only,
,,,5,Census tract based on ZIP code of P.O. Box,
,,,6,"Census tract/BNA based on residence city where city has only one census tract, or based on residence ZIP code where ZIP code has only one census tract",
,,,9,"Not assigned, geocoding attempted",
,,,Blank,"Not assigned, geocoding not attempted",
368,Census Block Grp 1970/80/90,Demographic,0,"Census block group assignment was attempted, but the value could not be determined",
,,,43109,Census block group values as defined by the Census Bureau,
,,,Blank,Census Block Grp 1970/80/90 [368] not coded,
,,,,,
369,Census Tract Certainty 2020,Demographic,1,Census tract based on complete and valid street address of residence,New
,,,2,Census tract based on residence ZIP + 4,
,,,3,Census tract based on residence ZIP + 2,
,,,4,Census tract based on residence ZIP code only,
,,,5,Census tract based on ZIP code of P.O. Box,
,,,6,"Census tract/BNA based on residence city where city has only one census tract, or based on residence ZIP code where ZIP code has only one census tract",
,,,9,"Not assigned, geocoding attempted",
,,,Blank,"Not assigned, geocoding not attempted",
,,,,,
370,Reserved 01,Record ID,,,
380,Sequence Number--Central,Cancer Identification,....,,
,,,0,One primary in the patient's lifetime,
,,,1,First of two or more primaries,
,,,2,Second of two or more primaries,
,,,....,,
,,,....,,
,,,59,Fifty-ninth or higher of fifty-nine or more primaries,
,,,99,"Unspecified or unknown sequence number of Federally required in situ or malignant tumors. Sequence number 99 can be used if there is a malignant tumor and its sequence number is unknown. If there is known to be more than one malignant tumor, then the tumors must be sequenced.)",
,,,....,,
