mapping notes,item_number,section,naaccr_variable_code,naaccr_variable_name,Cancer Modifier Mapping,Map Measurement? (assumes Value) ,Maps To,new_concept,Athena URL,Already Done/,naaccr_variable_domain,concept_class_id,naaccr_variable_standard_concept,naaccr_item_start_date,naaccr_item_end_date,naaccr_item_400_parent,naaccr_item_522_parent,naaccr_variable_date,naaccr_variable_parent,naaccr_value_code,naaccr_value_name,naaccr_variable_domain-2,concept_class_id-2,naaccr_value_standard_concept
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1634189,,https://athena.ohdsi.org/search-terms/terms/1634189,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@090,Score of 9,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1634750,,https://athena.ohdsi.org/search-terms/terms/1634750,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@110,"Low Grade, Bloom-Richardson (BR) grade 1, score not given",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1635449,,https://athena.ohdsi.org/search-terms/terms/1635449,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@120,"Medium (Intermediate) Grade, BR grade 2, score not given",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1634207,,https://athena.ohdsi.org/search-terms/terms/1634207,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@130,"High Grade, BR grade 3, score not given",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@988,"Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)",Meas Value,NAACCR Value,
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@998,No histologic examination of primary site,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@999,Neither BR grade nor BR score given|Unknown or no information|Not documented in patient record,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,1634085,,https://athena.ohdsi.org/search-terms/terms/1634085,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@010,Low grade,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,1635587,,https://athena.ohdsi.org/search-terms/terms/1635587,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@020,High grade,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@987,Not applicable: Histology not mucoepidermoid carcinoma,Meas Value,NAACCR Value,
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@988,"Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)",Meas Value,NAACCR Value,
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@998,No pathologic examination of primary site,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,lacrimal_gland@2861,Mucoepidermoid Carcinoma - Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,lacrimal_gland@2861@999,Unknown or no information|Not documented in patient record,Meas Value,NAACCR Value,
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@011,"Primary pattern 1, secondary pattern 1",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@012,"Primary pattern 1, secondary pattern 2",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@013,"Primary pattern 1, secondary pattern 3",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@014,"Primary pattern 1, secondary pattern 4",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@015,"Primary pattern 1, secondary pattern 5",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@019,"Primary pattern 1, secondary pattern unknown",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@021,"Primary pattern 2, secondary pattern 1",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@022,"Primary pattern 2, secondary pattern 2",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@023,"Primary pattern 2, secondary pattern 3",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@024,"Primary pattern 2, secondary pattern 4",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635467,,https://athena.ohdsi.org/search-terms/terms/1635467,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@025,"Primary pattern 2, secondary pattern 5",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@029,"Primary pattern 2, secondary pattern unknown",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@031,"Primary pattern 3, secondary pattern 1",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@032,"Primary pattern 3, secondary pattern 2",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@033,"Primary pattern 3, secondary pattern 3",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1633601,,https://athena.ohdsi.org/search-terms/terms/1633601,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@034,"Primary pattern 3, secondary pattern 4",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1634821,,https://athena.ohdsi.org/search-terms/terms/1634821,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@035,"Primary pattern 3, secondary pattern 5",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@039,"Primary pattern 3, secondary pattern unknown",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@041,"Primary pattern 4, secondary pattern 1",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635297,,https://athena.ohdsi.org/search-terms/terms/1635297,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@042,"Primary pattern 4, secondary pattern 2",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1634055,,https://athena.ohdsi.org/search-terms/terms/1634055,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@043,"Primary pattern 4, secondary pattern 3",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1634821,,https://athena.ohdsi.org/search-terms/terms/1634821,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@044,"Primary pattern 4, secondary pattern 4",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635817,,https://athena.ohdsi.org/search-terms/terms/1635817,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@045,"Primary pattern 4, secondary pattern 5",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@049,"Primary pattern 4, secondary pattern unknown",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1634055,,https://athena.ohdsi.org/search-terms/terms/1634055,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@051,"Primary pattern 5, secondary pattern 1",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635467,,https://athena.ohdsi.org/search-terms/terms/1635467,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@052,"Primary pattern 5, secondary pattern 2",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1634821,,https://athena.ohdsi.org/search-terms/terms/1634821,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@053,"Primary pattern 5, secondary pattern 3",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635817,,https://athena.ohdsi.org/search-terms/terms/1635817,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@054,"Primary pattern 5, secondary pattern 4",Meas Value,NAACCR Value,S
concept granularity lost,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,1635621,,https://athena.ohdsi.org/search-terms/terms/1635621,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@055,"Primary pattern 5, secondary pattern 5",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@059,"Primary pattern 5, secondary pattern unknown",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@099,"Primary pattern unknown, secondary pattern unknown",Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@988,"Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)",Meas Value,NAACCR Value,
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@998,No needle core biopsy/TURP performed,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,prostate@2861,Gleason's Primary Pattern and Secondary Pattern Values on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2861@999,Unknown or no information|Not documented in patient record,Meas Value,NAACCR Value,
,2862,Stage/Prognostic Factors,prostate@2862,Gleason's Score on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2862@988,"Not applicable: Information not collected for this case (If this information is required by your standard setter, use of code 988 may result in an edit error.)",Meas Value,NAACCR Value,
,2862,Stage/Prognostic Factors,prostate@2862,Gleason's Score on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2862@998,No needle core biopsy/TURP performed,Meas Value,NAACCR Value,S
,2862,Stage/Prognostic Factors,prostate@2862,Gleason's Score on Needle Core Biopsy/Transurethral Resection of Prostate (TURP),Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,prostate@2862@999,Unknown or no information|Not documented in patient record,Meas Value,NAACCR Value,
